PLR_NAME,PLR_ID,Violent Delinquency Overall,Domestic and Partner Violence,Youth Violence
Alt-Friedrichshagen,09501737,Niedrig,Niedrig,Niedrig
Rahnsdorf,09501838,Mittel,Niedrig,Niedrig
Bahnhofstraße,09501939,Mittel,Niedrig,Mittel
Güterbahnhof Köpenick,09501940,Mittel,Mittel,Niedrig
Friedrichshagener Straße,09501941,Mittel,Niedrig,Niedrig
Mittelheide,09502042,Niedrig,Mittel,Niedrig
Dammheide,09502043,Niedrig,Niedrig,Niedrig
Marzahn West,10100101,Mittel,Stark erhöht,Erhöht
Rosenbecker Straße,10100102,Mittel,Stark erhöht,Mittel
Wittenberger Straße,10100103,Mittel,Erhöht,Stark erhöht
Golliner Straße,10100104,Mittel,Erhöht,Stark erhöht
Gewerbegebiet Bitterfelder Straße,10100205,Stark erhöht,Stark erhöht,Stark erhöht
Wuhletalstraße,10100206,Mittel,Erhöht,Stark erhöht
Ahrensfelder Berge,10100207,Mittel,Erhöht,Erhöht
Bürgerpark,10100208,Mittel,Mittel,Mittel
Lea-Grundig-Straße,10100209,Mittel,Erhöht,Mittel
Marzahner Promenade,10100210,Mittel,Mittel,Erhöht
Marzahner Chaussee,10100311,Stark erhöht,Erhöht,Erhöht
Springpfuhl,10100312,Mittel,Mittel,Mittel
Alt-Marzahn,10100313,Mittel,Erhöht,Mittel
Auersbergstraße,10100314,Mittel,Mittel,Mittel
Bärenstein,10100315,Mittel,Mittel,Mittel
Landsberger Tor,10100316,Mittel,Mittel,Mittel
Zossener Straße,10200417,Mittel,Stark erhöht,Erhöht
Kyritzer Straße,10200418,Mittel,Mittel,Erhöht
Havelländer Ring,10200419,Mittel,Mittel,Mittel
Gut Hellersdorf,10200420,Mittel,Stark erhöht,Erhöht
Helle Mitte,10200421,Stark erhöht,Stark erhöht,Stark erhöht
Hellersdorfer Promenade,10200422,Mittel,Stark erhöht,Mittel
Böhlener Straße,10200423,Mittel,Erhöht,Mittel
Adele-Sandrock-Straße,10200524,Mittel,Mittel,Mittel
Schleipfuhl,10200525,Mittel,Erhöht,Erhöht
Boulevard Kastanienallee,10200526,Mittel,Stark erhöht,Erhöht
