PLR_ID,PLR_NAME,charging_stations,charging_points,combined_power
03200206,Pastor-Niemöller-Platz,1.0,2.0,44.0
03200207,Herthaplatz,2.0,6.0,388.0
03200308,Nisbléstraße,,,
03200309,Eddastraße,2.0,5.0,144.0
03200310,Krugpfuhl,1.0,2.0,22.0
03300411,Karow Nord,,,
03300412,Karow Bahnhof,,,
03300413,Karow Ost,2.0,4.0,66.0
03300514,Blankenburg,,,
03300515,Blankenburger Süden,,,
03300516,Heinersdorf,10.0,18.0,2393.0
03300517,Märchenland,,,
03400618,Rosenthal,,,
03400619,Wilhelmsruh,,,
03400620,Schönholz,1.0,2.0,44.0
03400721,Florakiez,,,
03400722,Parkstraße,,,
03400723,Garbátyplatz,3.0,6.0,66.0
03400724,Wolfshagener Straße,1.0,2.0,22.0
03400725,Schlosspark,1.0,2.0,22.0
03400826,Tiroler Viertel,1.0,2.0,22.0
03400827,Trelleborger Viertel,1.0,1.0,3.0
03400828,Spiekermann Straße,1.0,2.0,22.0
03400829,Arnold-Zweig-Straße,1.0,2.0,22.0
03400830,Kissingenviertel,1.0,2.0,22.0
03400831,Pankower Tor,2.0,2.0,350.0
03500932,Bühringstraße,3.0,6.0,944.0
03500933,Weißer See,4.0,8.0,154.0
03500934,Weißenseer Spitze,1.0,2.0,22.0
03500935,Behaimstraße,3.0,6.0,110.0
03500936,Komponistenviertel Weißensee,5.0,10.0,132.0
03501037,Rathaus Weißensee,6.0,12.0,1288.0
03501038,Hansastraße,1.0,2.0,22.0
03601139,Norweger Viertel,,,
03601140,Malmöer Straße,1.0,3.0,108.0
03601141,Arnimplatz,3.0,6.0,66.0
03601142,Falkplatz,5.0,10.0,110.0
03601243,Rodenbergstraße,3.0,4.0,44.0
03601244,Humannplatz,4.0,8.0,88.0
03601245,Ostseestraße,5.0,10.0,110.0
03601346,Gethsemanekirche,1.0,2.0,22.0
03601347,Helmholtzplatz,1.0,2.0,22.0
03601348,Senefelderstraße,2.0,4.0,44.0
03601449,Michelangelostraße,1.0,2.0,22.0
03601450,Volkspark Prenzlauer Berg,6.0,11.0,762.0
03601451,Anton-Saefkow-Park,1.0,2.0,22.0
03601452,Velodrom,4.0,8.0,231.0
03601453,Alter Schlachthof,8.0,14.0,1652.0
03701554,Teutoburger Platz,4.0,8.0,159.0
03701555,Sredzkistraße,4.0,8.0,88.0
03701556,Kollwitzplatz,3.0,6.0,66.0
03701657,Thälmannpark,1.0,2.0,22.0
03701658,Christburger Straße,2.0,4.0,44.0
03701659,Immanuelkirchstraße,4.0,8.0,132.0
03701660,Bötzowstraße,7.0,14.0,732.0
04100101,Jungfernheide/Plötzensee,1.0,2.0,22.0
04100102,Paul-Hertz-Siedlung,1.0,2.0,22.0
04200203,Olympiagelände,,,
04200204,Angerburger Allee,,,
04200205,Flatowallee,2.0,3.0,66.0
04200206,Kranzallee,1.0,1.0,3.0
04200207,Eichkamp,,,
04200308,Branitzer Platz,2.0,4.0,115.0
04200309,Neu Westend,3.0,5.0,69.0
04200310,Fürstenplatz,3.0,6.0,88.0
04200311,Königin-Elisabeth-Straße,9.0,19.0,612.0
04300412,Schlossgarten,3.0,6.0,77.0
04300413,Klausenerplatz,4.0,8.0,110.0
04300414,Schloßstraße,6.0,12.0,154.0
04300415,Lietzensee,5.0,10.0,110.0
04300416,Amtsgerichtsplatz,7.0,17.0,209.0
04300517,Tegeler Weg,2.0,4.0,44.0
04300518,Kaiserin-Augusta-Allee,8.0,17.0,514.0
04300619,Alt-Lietzow,4.0,8.0,110.0
04300620,Spreestadt,30.0,53.0,1717.0
04300621,Richard-Wagner-Straße,5.0,10.0,154.0
04300622,Ernst-Reuter-Platz,5.0,10.0,176.0
04300623,Karl-August-Platz,2.0,4.0,66.0
04300624,Savignyplatz,5.0,10.0,154.0
04400725,Güterbahnhof Grunewald,,,
04400726,Bismarckallee,1.0,1.0,3.0
