PLR_ID,PLR_NAME,EW,KI_08,KI_14,KI_15
09051701,Hirschgarten,4062,37.22,2.08,39.28
09051702,Bölschestraße,14947,23.84,2.01,40.71
09051801,Rahnsdorf/Hessenwinkel,9856,6.74,2.08,47.6
09051901,Dammvorstadt,11733,8.3,1.91,41.86
09052001,Köpenick Nord,13294,10.46,2.24,42.67
10010101,Marzahn West,5709,93.98,1.92,32.83
10010102,Havemannstraße,18613,51.17,1.84,32.19
10010204,Wuhletalstraße,10586,21.54,1.98,33.04
10010205,Marzahn Ost,8198,29.99,1.99,35.18
10010206,Ringkolonnaden,17316,24,2.09,36.14
10010207,Marzahner Promenade,10782,56.23,1.96,34.71
10010308,Marzahner Chaussee,2228,23.41,2.03,42.36
10010309,Springpfuhl,14860,31.62,2.12,35.92
10010310,Alt-Marzahn,18273,18.66,2.07,37.57
10010311,Landsberger Tor,3681,24.84,1.47,36.16
10020412,Alte Hellersdorfer Straße,7171,23.87,1.36,31.12
10020413,Gut Hellersdorf,16168,48.02,1.61,32.56
10020414,Helle Mitte,1716,0,1.45,31.18
10020415,Hellersdorfer Promenade,6503,31.93,1.62,29.82
10020416,Böhlener Straße,5929,13.8,1.73,31.41
10020517,Adele-Sandrock-Straße,9975,30.3,2.11,37.05
10020518,Schleipfuhl,5317,99.61,1.32,30.79
10020519,Boulevard Kastanienallee,6111,0,1.81,29.78
10020620,Kaulsdorf Nord II,3465,2.93,2.13,34.73
10020621,Gelbes Viertel,6342,86.28,1.42,32.22
10020622,Kaulsdorf Nord I,8919,6.89,2.01,32.35
10020623,Rotes Viertel,6487,83.75,1.56,35.92
10030724,Oberfeldstraße,7805,1.21,2.07,44.91
10030725,Buckower Ring,6952,42.14,1.96,35.44
10030726,Alt-Biesdorf,3938,22.9,1.81,38.16
10030727,Biesdorf Süd,10260,0,1.99,44.81
10040828,Kaulsdorf Nord,7807,1.72,2.03,45.41
10040829,Alt-Kaulsdorf,3868,0,1.93,42.52
10040830,Kaulsdorf Süd,7733,0.06,2.14,47.75
10040931,Mahlsdorf Nord,9921,0.12,2.08,45.76
10040932,Alt-Mahlsdorf,4457,4.75,2,44.79
10040933,Mahlsdorf Süd,15379,0,2.15,47.89
11010101,Dorf Malchow,649,28.82,1.47,31.37
11010102,Dorf Wartenberg,2653,2.48,2.1,45.44
11010103,Dorf Falkenberg,2189,40.19,1.56,36.88
11010204,Falkenberg Ost,8986,54.25,1.85,32.49
11010205,Falkenberg West,7052,44.15,1.86,32.86
11010206,Wartenberg Süd,6095,66.5,2,33.24
11010207,Wartenberg Nord,7609,91.63,1.89,29.46
11010308,Zingster Straße Ost,11690,36.26,1.84,33.32
11010309,Zingster Straße West,9583,88.07,1.87,32.73
11010310,Mühlengrund,5825,8.32,2.08,37.83
11020411,Malchower Weg,9998,38.84,1.82,38.02
11020412,Hauptstraße,6856,43.38,1.84,33.93
11020513,Orankesee,3898,23.39,1.68,38.39
11020514,Große-Leege-Straße,9897,48.71,1.88,35.84
11020515,Landsberger Allee,15296,33.47,1.82,34.61
11020516,Weiße Taube,4125,0,1.71,38.55
11030617,Hohenschönhausener Straße,6058,25.94,1.93,32.55
11030618,Fennpfuhl West,16427,31.12,1.95,34.93
11030619,Fennpfuhl Ost,11266,27.37,1.88,33.27
11030720,Herzbergstraße,6359,29.67,1.38,29.75
11030721,Rüdigerstraße,25044,32.82,1.75,35.13
11030824,Frankfurter Allee Süd,9956,49.83,1.87,33.26
11040925,Victoriastadt,4218,12.58,1.61,37.03
11040926,Weitlingstraße,29849,25.66,1.88,36.54
11041022,Rosenfelder Ring,5824,9.28,1.82,37.05
11041023,Gensinger Straße,6756,22.35,1.74,32.54
11041027,Tierpark,3195,40.27,1.75,33.72
11041128,Sewanstraße,27002,45.09,1.91,35.12
11051229,Rummelsburg,4244,23.24,1.66,39.3
11051330,Karlshorst West,10346,38.25,1.67,35.25
11051331,Karlshorst Nord,10640,21.83,2.05,42.52
11051332,Karlshorst Süd,7252,8.44,1.87,41.63
12103115,Breitkopfbecken,7702,2.85,1.72,34.24
12103116,Hausotterplatz,9986,0.42,1.5,30.44
12103117,Letteplatz,10985,11.33,1.57,31.54
12103218,Teichstraße,14057,1.23,1.63,32.09
12103219,Schäfersee,8869,0.06,1.72,34.19
12103220,Humboldtstraße,4661,0.88,2.03,36.51
12214125,Waldidyll/Flughafensee,7783,1.81,1.86,39.72
12214126,Tegel Süd,8091,68.54,1.81,33.15
12214421,Reinickes Hof,2753,0,1.75,33.88
12214422,Klixstraße,8270,44.46,1.53,29.68
12214423,Mellerbogen,5667,2.32,1.89,35.98
12214424,Scharnweberstraße,11022,1.69,1.69,32.81
12214527,Alt-Tegel,10959,0.08,1.85,42.12
12224229,Konradshöhe/Tegelort,6011,0,2.23,51.49
12224230,Heiligensee,18099,2.27,2.15,47.61
12231101,Hermsdorf,16726,2.5,2.28,51.03
12231102,Frohnau,16689,0.38,2.35,54.01
12301203,Wittenau Süd,15001,2.08,1.78,35.21
12301204,Wittenau Nord,6434,9.22,1.98,44.09
12301205,Waidmannslust,5166,0,2.08,46.09
12301206,Lübars,5160,3.56,2.09,46.16
12302107,Schorfheidestraße,3065,19.07,1.9,40.97
12302108,Märkisches Zentrum,14788,79.7,1.64,31.97
12302109,Treuenbrietzener Straße,11610,99.96,1.52,29.61
12302110,Dannenwalder Weg,10656,96.19,1.48,29.64
12302211,Lübarser Straße,3310,28.58,2.01,41.63
12302212,Rollbergesiedlung,5922,93.65,1.6,31.91
12304313,Borsigwalde,6750,17.99,1.94,38.9
12304314,Ziekowstraße/Freie Scholle,9665,13.5,2.17,41.71
