,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
03,Pankow,03300412,Karow Bahnhof, 256 , 10.2 , -   , 1 , -   , -   , 256 , 10.2 , -   , 1 , -   , -   
03,Pankow,03300413,Karow Ost, 507 , 35.5 , -   , 6 , 0.4 , -   , 507 , 35.5 , -   , 6 , 0.4 , -   
03,Pankow,03300514,Blankenburg, 2 763 , 71.6 , -   , 413 , 10.7 , -   , 2 763 , 71.6 , -   , 413 , 10.7 , -   
03,Pankow,03300515,Blankenburger Süden, 5 , 14.3 , -   , -   , -   , -   , 5 , 14.3 , -   , -   , -   , -   
03,Pankow,03300516,Heinersdorf, 3 128 , 77.9 , -   , 513 , 12.8 , -   , 3 562 , 88.7 , 10.8 , 2 401 , 59.8 , 47.0 
03,Pankow,03300517,Märchenland, 537 , 86.9 , -   , 74 , 12.0 , -   , 537 , 86.9 , -   , 74 , 12.0 , -   
03,Pankow,03400618,Rosenthal, 1 878 , 87.0 , -   , 750 , 34.7 , -   , 1 878 , 87.0 , -   , 750 , 34.7 , -   
03,Pankow,03400619,Wilhelmsruh, 5 340 , 94.4 , -   , 95 , 1.7 , -   , 5 472 , 96.7 , 2.3 , 4 467 , 79.0 , 77.3 
03,Pankow,03400620,Schönholz, 1 453 , 88.1 , -   , 54 , 3.3 , -   , 1 464 , 88.8 , 0.7 , 128 , 7.8 , 4.5 
03,Pankow,03400721,Florakiez, 6 089 , 91.9 , -   , 1 765 , 26.6 , -   , 6 627 , 100.0 , 8.1 , 6 627 , 100.0 , 73.4 
