gisid,kategorie,bez_name,bez_id,pgr_name,pgr_id,bzr_name,bzr_id,plr_name,plr_id
"04400832",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Schmargendorf,"044008",Breite Straße,"04400832"
"04400833",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Schmargendorf,"044008",Schlangenbader Straße,"04400833"
"04400834",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Schmargendorf,"044008",Binger Straße,"04400834"
"04400835",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Süd,"0440",Schmargendorf,"044008",Rüdesheimer Platz,"04400835"
"04500936",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Halensee,"045009",Droysenstraße,"04500936"
"04500937",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Halensee,"045009",Halensee,"04500937"
"04500938",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Halensee,"045009",Hochmeisterplatz,"04500938"
"04500939",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Halensee,"045009",Eisenzahnstraße,"04500939"
"04501040",1 - Niedrig,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Lietzenburger Str.,"045010",Hindemithplatz,"04501040"
"04501041",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Lietzenburger Str.,"045010",George-Grosz-Platz,"04501041"
"04501042",4 - Stark erhöht,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Lietzenburger Str.,"045010",Breitscheidplatz,"04501042"
"04501043",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Lietzenburger Str.,"045010",Preußenpark,"04501043"
"04501044",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Lietzenburger Str.,"045010",Ludwigkirchplatz,"04501044"
"04501045",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Lietzenburger Str.,"045010",Schaperstraße,"04501045"
"04501146",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Volkspark Wilmersdorf,"045011",Barstraße,"04501146"
"04501147",2 - Mittel,Charlottenburg/Wilmersdorf,"04",Wilmersdorf Zentrum,"0450",Volkspark Wilmersdorf,"045011",Leon-Jessel-Platz,"04501147"
